23.8, 214
25, 209
30, 178
35, 156
40, 136
45, 123
50, 112
55, 103
60, 95
65, 88
70, 82
75, 77
80, 73
85, 69
90, 65
95, 62
100, 59
105, 55
110, 54
115, 52
120, 52
