
timestamp,ax,ay,az,roll,pitch,wx,wy,wz,mx,my,mz
1604404754.93609881,0.00463600,-0.00646600,1.02419000,-0.09731252,-0.03661556,-0.06462750,0.04380250,0.06721750,-0.36787489,0.94562993,0.58930137
1604404754.99923897,0.00451400,-0.00585600,1.02406800,-0.02841568,-0.02940690,0.21537250,-0.37619750,-0.17778250,-0.36553639,0.94694534,0.58652441
1604404755.06101322,0.00341600,-0.00585600,1.02370200,-0.06127940,0.03290790,0.18037250,-0.09619750,-0.07278250,-0.36553639,0.94694534,0.58652441
1604404755.12263918,0.00610000,-0.00439200,1.02284800,0.01959705,-0.09076043,0.49537250,-0.97119750,-0.24778250,-0.37152879,0.94402222,0.59105525
1604404755.18424964,0.00695400,-0.00707600,1.02699600,-0.18359095,-0.03503635,-0.16962750,1.05880250,0.13721750,-0.37152879,0.94402222,0.59105525
1604404755.24585342,0.00317200,-0.00280600,1.02089600,0.27240155,0.04711279,0.11037250,0.18380250,-0.07278250,-0.36699795,0.94636071,0.59047062
1604404755.30747223,0.00475800,-0.00500200,1.02370200,0.02611554,-0.04327476,-0.09962750,0.07880250,0.13721750,-0.37152879,0.94606840,0.59163987
1604404755.36909771,0.00646600,-0.00854000,1.02358000,-0.21578449,-0.14089053,-0.13462750,0.32380250,0.06721750,-0.37152879,0.94606840,0.59163987
1604404755.43072033,0.00610000,-0.00488000,1.02297000,-0.00770728,0.00493836,0.00537250,0.14880250,0.06721750,-0.36685180,0.94212219,0.59383221
1604404755.49233150,0.00634400,-0.00524600,1.02101800,-0.16568704,0.09352117,0.07537250,-0.16619750,-0.03778250,-0.36685180,0.94212219,0.59383221
1604404755.55393529,0.00561200,-0.00305000,1.02358000,0.05300878,-0.24276853,-0.20462750,0.11380250,-0.00278250,-0.36802105,0.93919906,0.58462438
1604404755.61555076,0.00488000,-0.00536800,1.02431200,-0.03760507,-0.05205838,0.14537250,-0.23619750,-0.10778250,-0.36977492,0.94387606,0.59543993
1604404755.67780805,0.00768600,-0.00634400,1.02370200,-0.08935565,-0.20646551,-0.51962750,0.84880250,0.27721750,-0.36977492,0.94387606,0.59543993
1604404755.74087954,0.00573400,-0.00597800,1.02419000,-0.35461353,-0.09673769,0.11037250,-0.16619750,-0.00278250,-0.36787489,0.94358375,0.59120140
1604404755.80378985,0.00536800,-0.00658800,1.02333600,-0.00119080,-0.07741569,0.00537250,-0.16619750,0.03221750,-0.36787489,0.94358375,0.59120140
1604404755.86678696,0.00463600,-0.00451400,1.02309200,-0.09428784,-0.18475579,-0.30962750,0.56880250,0.13721750,-0.36875183,0.94577609,0.59032447
1604404755.92985535,0.00524600,-0.00549000,1.02236000,0.00007492,0.05337805,-0.13462750,0.35880250,0.48721750,-0.37269804,0.94621456,0.59733996
1604404755.99281907,0.00463600,-0.00451400,1.02297000,-0.31386577,0.02589310,0.28537250,-0.34119750,0.06721750,-0.37269804,0.94621456,0.59733996
1604404756.05578685,0.00634400,-0.00549000,1.01979800,-0.04967565,-0.20821645,-0.20462750,1.40880250,0.45221750,-0.37094417,0.94592224,0.59836305
1604404756.11872458,0.00475800,-0.00610000,1.02223800,-0.17884336,-0.05675329,-0.02962750,-0.83119750,-0.49278250,-0.37138264,0.94168372,0.59163987
1604404756.18180013,0.00512400,-0.00561200,1.02736200,-0.23105630,0.01268238,-0.06462750,0.32380250,-0.00278250,-0.37138264,0.94168372,0.59163987
1604404756.24476051,0.00439200,-0.00524600,1.02101800,-0.02876328,-0.15978105,0.14537250,-0.41119750,0.03221750,-0.36831336,0.94899152,0.59690149
1604404756.30783105,0.00573400,-0.00610000,1.02699600,-0.07469396,-0.09629416,-0.48462750,0.56880250,0.31221750,-0.36831336,0.94899152,0.59690149
1604404756.37095070,0.00646600,-0.00414800,1.02467800,0.03494385,-0.13598021,0.42537250,-0.51619750,-0.49278250,-0.37065186,0.94826074,0.59237065
1604404756.43396282,0.00475800,-0.00378200,1.02284800,0.05527008,-0.04103139,0.07537250,0.04380250,0.06721750,-0.37313651,0.94796843,0.59222450
1604404756.49694943,0.00488000,-0.00597800,1.02419000,-0.06580288,-0.04694881,-0.30962750,0.49880250,0.13721750,-0.37313651,0.94796843,0.59222450
1604404756.56007099,0.00561200,-0.00463600,1.02467800,0.27242650,-0.08979148,-0.20462750,0.56880250,0.13721750,-0.37532885,0.94285297,0.59017831
1604404756.62302470,0.00463600,-0.00549000,1.02333600,-0.21041844,-0.03482049,0.28537250,-0.44619750,-0.17778250,-0.37532885,0.94285297,0.59017831
1604404756.68598342,0.00512400,-0.00488000,1.02321400,-0.15368209,0.24388324,0.18037250,-0.44619750,-0.07278250,-0.36904414,0.94752996,0.58623210
1604404756.74899650,0.00597800,-0.00524600,1.02419000,0.03850307,-0.20998309,-0.16962750,0.32380250,0.52221750,-0.37167495,0.94431453,0.59090909
1604404756.81202483,0.00475800,-0.00451400,1.02272600,0.12050249,-0.48124841,-0.06462750,0.11380250,-0.07278250,-0.37167495,0.94431453,0.59090909
1604404756.87497711,0.00414800,-0.00524600,1.02565400,0.02027224,-0.17167951,-0.16962750,0.84880250,0.20721750,-0.36919030,0.94533762,0.59514762
