1605534934.67637253,0.04318800,0.00073200,1.01772400,0.03058346,0.01438443,0.23719500,-0.18455500,0.09117500,-1.01037708,-1.03814674,-0.48099971
1605534934.75714707,0.04221200,0.00231800,1.01772400,0.05190923,0.05396017,0.02719500,0.06044500,0.40617500,-1.00628471,-1.02981584,-0.47193803
1605534934.81859231,0.04453000,0.00219600,1.02199400,0.04427029,-0.05446228,0.02719500,0.06044500,0.33617500,-1.00628471,-1.02981584,-0.47193803
1605534934.88003922,0.04245600,0.00195200,1.01699200,-0.08561618,-0.08856889,0.06219500,-0.14955500,0.51117500,-1.01110786,-1.03361590,-0.46959953
1605534934.94149566,0.04392000,0.00329400,1.01772400,0.02418980,-0.03717228,0.27219500,-0.35955500,0.05617500,-1.00540778,-1.03522362,-0.47281497
1605534935.00293565,0.04184600,0.00353800,1.01626000,0.12057218,0.07570913,0.30719500,-0.18455500,0.02117500,-1.00540778,-1.03522362,-0.47281497
1605534935.06438136,0.04306600,0.00134200,1.01809000,0.14761847,-0.13250157,0.20219500,-0.11455500,-0.04882500,-1.01081555,-1.03230050,-0.46653025
1605534935.12584734,0.04367600,0.00146400,1.01857800,0.06606820,-0.03557812,-0.18280500,-0.00955500,0.30117500,-1.01081555,-1.03230050,-0.46653025
1605534935.18726587,0.04184600,0.00280600,1.01821200,0.07824693,0.09198951,0.20219500,-0.07955500,0.12617500,-1.00292312,-1.03463899,-0.47296112
1605534935.24870658,0.04318800,0.00036600,1.01772400,-0.05813751,0.22308954,0.13219500,-0.14955500,0.23117500,-1.01388483,-1.03668518,-0.46346098
1605534935.31014895,0.04379800,0.00219600,1.01687000,-0.06506338,0.01438009,-0.00780500,-0.07955500,0.51117500,-1.01388483,-1.03668518,-0.46346098
1605534935.37163305,0.04245600,0.00244000,1.01796800,-0.01063311,0.06324985,0.37719500,-0.32455500,-0.08382500,-1.01183864,-1.03405437,-0.46389944
1605534935.43440628,0.04379800,0.00268400,1.01821200,-0.01014010,-0.02943513,0.16719500,-0.25455500,0.12617500,-1.01403099,-1.03259281,-0.46638410
1605534935.49714589,0.04257800,0.00219600,1.01857800,-0.03756300,0.03851774,0.27219500,-0.21955500,-0.18882500,-1.01403099,-1.03259281,-0.46638410
1605534935.55979753,0.04331000,0.00329400,1.01613800,-0.03054235,-0.01080184,0.34219500,-0.25455500,0.02117500,-1.00920783,-1.03420053,-0.47223034
1605534935.62248945,0.04306600,0.00183000,1.01748000,0.17605698,0.00209995,-0.04280500,-0.11455500,0.26617500,-1.00920783,-1.03420053,-0.47223034
1605534935.68510866,0.04148000,0.00109800,1.01674800,-1.77900236,0.09283353,-0.00780500,-0.04455500,0.33617500,-1.01373867,-1.03536977,-0.47237650
1605534935.74777055,0.04209000,0.00378200,1.01894400,0.13492925,0.05513339,0.02719500,-0.00955500,0.37117500,-1.00701549,-1.03025431,-0.47193803
1605534935.81044197,0.04331000,0.00268400,1.01577200,0.07207709,-0.00056184,0.41219500,-0.42955500,-0.04882500,-1.00701549,-1.03025431,-0.47193803
1605534935.87360525,0.04294400,0.00231800,1.01748000,0.11935265,0.02861960,0.30719500,-0.32455500,0.02117500,-1.00599240,-1.03493131,-0.46638410
1605534935.93637872,0.04209000,0.00292800,1.01699200,0.08648598,0.05798358,-0.28780500,0.27044500,0.51117500,-1.00613856,-1.03975446,-0.46433791
