timestamp,ax,ay,az,roll,pitch,wx,wy,wz,mx,my,mz
1603783092.70582104,0.00927200,-0.00366000,1.01321000,-0.08964610,-1.09306699,0.03930500,0.59122000,0.29190000,0.18854136,-1.57103186,-0.12364806
1603783092.76822066,-0.00963800,-0.03111000,1.02309200,-0.16282160,0.00829249,0.14430500,0.80122000,-0.05810000,0.18401052,-1.57702426,-0.12320959
1603783092.82956839,-0.00158600,-0.00292800,1.01882200,-0.16076753,-0.09524272,-0.13569500,0.48622000,-0.02310000,0.18401052,-1.57702426,-0.12320959
1603783092.89111567,-0.00097600,-0.00244000,1.02065200,-0.02103001,-0.18233501,0.14430500,0.24122000,-0.02310000,0.18664133,-1.57731657,-0.12130956
1603783092.95231485,-0.00866200,-0.00097600,1.02431200,0.09682591,-0.21036964,0.03930500,0.03122000,-0.05810000,0.18342590,-1.56693949,-0.11970184
1603783093.01359606,-0.00841800,-0.00122000,1.02260400,0.12416079,0.23584172,0.03930500,0.24122000,-0.02310000,0.18342590,-1.56693949,-0.11970184
1603783093.07486439,-0.00463600,-0.00097600,1.02687400,0.06291933,0.02063523,0.38930500,-0.59878000,0.08190000,0.17787197,-1.57512423,-0.12174803
1603783093.13621783,-0.00695400,-0.00280600,1.01223400,0.08967615,-0.06502683,0.07430500,-0.07378000,-0.02310000,0.17787197,-1.57512423,-0.12174803
1603783093.19767499,-0.00768600,-0.00085400,1.02980200,0.17209259,0.19384164,-0.13569500,0.45122000,0.01190000,0.18254896,-1.57527039,-0.12043262
1603783093.25892639,-0.00756400,-0.00414800,1.02736200,-0.11402719,0.18416541,0.03930500,0.20622000,-0.23310000,0.18181818,-1.57293189,-0.12686349
1603783093.32023787,-0.00463600,0.03062200,1.02504400,0.11729844,0.19194167,0.10930500,-0.38878000,-0.19810000,0.18181818,-1.57293189,-0.12686349
1603783093.38143516,-0.00231800,-0.00305000,1.02358000,-0.06681458,-1.85398106,0.21430500,-0.03878000,-0.05810000,0.17816428,-1.57673195,-0.12364806
1603783093.44267464,-0.00805200,-0.00097600,1.02968000,0.06299132,0.21037189,0.28430500,0.20622000,-0.12810000,0.18605671,-1.57103186,-0.11648641
1603783093.50512648,-0.00561200,-0.00219600,1.03358400,-0.00443177,0.15457821,-0.06569500,0.38122000,0.01190000,0.18605671,-1.57103186,-0.11648641
1603783093.56748438,-0.00439200,-0.00219600,1.02980200,0.07657195,-0.02724569,0.14430500,0.31122000,-0.12810000,0.18444899,-1.57614733,-0.12554809
1603783093.62995100,-0.00292800,-0.00183000,1.02614200,0.05599046,-0.31259832,0.03930500,0.59122000,0.11690000,0.18444899,-1.57614733,-0.12554809
1603783093.69236946,-0.00427000,-0.00170800,1.02333600,0.00094119,-0.29242266,0.03930500,0.27622000,-0.05810000,0.18897983,-1.57278574,-0.12160187
1603783093.75477123,-0.00756400,-0.00317200,1.02602000,0.09005419,0.12332222,0.03930500,0.52122000,-0.30310000,0.18488746,-1.57161649,-0.11780181
1603783093.81780958,-0.00451400,-0.00012200,1.02553200,-0.15521158,-0.12184994,0.31930500,-0.14378000,-0.26810000,0.18488746,-1.57161649,-0.11780181
1603783093.88065362,-0.00512400,-0.00073200,1.02675200,0.00228943,0.08706650,0.07430500,0.17122000,0.11690000,0.18474130,-1.57658579,-0.12087109
1603783093.94310737,-0.00524600,-0.00146400,1.02602000,0.07632464,0.05598042,0.07430500,0.24122000,-0.09310000,0.19175680,-1.57220111,-0.12160187
1603783094.00577664,-0.00536800,-0.00244000,1.02504400,-0.19776945,0.06370281,0.03930500,0.24122000,0.01190000,0.19175680,-1.57220111,-0.12160187
1603783094.06829453,-0.00512400,-0.00195200,1.02492200,1.76069863,0.04989047,0.21430500,0.10122000,-0.19810000,0.18649518,-1.57746273,-0.11970184
1603783094.13084793,-0.00634400,-0.00170800,1.02419000,0.02225993,0.11533588,0.10930500,0.20622000,-0.23310000,0.17904122,-1.57950892,-0.11867875
1603783094.19359136,-0.00622200,-0.00268400,1.02614200,-0.03256259,0.10974050,-0.27569500,0.62622000,0.04690000,0.17904122,-1.57950892,-0.11867875
1603783094.25592804,-0.00292800,-0.00061000,1.03114400,0.08340405,0.04704764,-0.20569500,0.52122000,0.01190000,0.18868752,-1.57293189,-0.11195557
1603783094.31830478,-0.00512400,-0.00207400,1.02004200,0.07618258,0.07070401,0.10930500,-0.49378000,-0.16310000,0.18868752,-1.57293189,-0.11195557
1603783094.38073730,-0.00268400,-0.00268400,1.02211600,0.02155612,0.06323932,0.00430500,-0.17878000,-0.23310000,0.18430284,-1.57673195,-0.11224788
1603783094.44325256,-0.00390400,0.00061000,1.02443400,-0.02520465,0.31199627,0.21430500,-0.17878000,-0.02310000,0.18488746,-1.57936276,-0.11590178
1603783094.50583220,-0.00475800,-0.00439200,1.02455600,-0.01950983,-0.03245369,-0.03069500,0.41622000,-0.02310000,0.18488746,-1.57936276,-0.11590178
1603783094.56818414,-0.00488000,-0.00219600,1.02358000,-0.14896633,0.03542578,0.28430500,-0.10878000,-0.09310000,0.18810289,-1.57205495,-0.11707103
1603783094.63076067,-0.00658800,-0.00427000,1.02394600,0.02240623,0.12834878,0.07430500,0.24122000,-0.09310000,0.18094125,-1.57190880,-0.11502485
1603783094.69333839,-0.00280600,-0.00244000,1.02406800,-0.01832817,-0.08169569,-0.06569500,0.55622000,0.01190000,0.18094125,-1.57190880,-0.11502485
1603783094.75587177,-0.00610000,-0.00402600,1.02577600,-0.10853974,0.10451386,0.10930500,0.20622000,0.01190000,0.18547208,-1.56562409,-0.11984800
1603783094.81838918,-0.00512400,-0.00134200,1.02528800,0.04230494,0.04867358,0.21430500,-0.03878000,-0.19810000,0.17947968,-1.56957030,-0.11794797
1603783094.88074732,-0.00536800,-0.00207400,1.02455600,0.00131571,-0.07392591,0.14430500,0.24122000,-0.12810000,0.17947968,-1.56957030,-0.11794797
1603783094.94321036,-0.00573400,-0.00427000,1.02931400,-0.01172876,0.06792559,0.21430500,-0.17878000,-0.16310000,0.18459515,-1.57775504,-0.11692488
1603783095.00569248,-0.00353800,-0.00439200,1.03175400,0.02922411,-0.23766634,-0.03069500,0.31122000,0.15190000,0.18459515,-1.57775504,-0.11692488
1603783095.06807280,-0.00451400,-0.00097600,1.02406800,0.04217135,0.11748205,-0.10069500,0.38122000,0.22190000,0.18605671,-1.57483192,-0.11765566
1603783095.13051629,-0.00353800,-0.00012200,1.02455600,0.20605487,-0.16939217,0.03930500,0.17122000,0.01190000,0.18035662,-1.57819351,-0.12130956
1603783095.19327092,-0.00817400,-0.00207400,1.02589800,-0.07972472,0.30585290,0.03930500,0.34622000,-0.02310000,0.18035662,-1.57819351,-0.12130956
1603783095.25566483,-0.00488000,-0.00085400,1.02541000,-0.23490746,0.03326058,0.17930500,-0.21378000,-0.12810000,0.18897983,-1.57527039,-0.11999415
1603783095.31819153,-0.00634400,-0.00439200,1.02504400,-0.12816104,0.11688741,0.00430500,0.13622000,0.01190000,0.18371821,-1.57132417,-0.11254019
1603783095.38052487,-0.00329400,-0.00097600,1.02541000,0.06278973,-0.05369916,-0.17069500,0.90622000,0.22190000,0.18371821,-1.57132417,-0.11254019
1603783095.44312811,-0.00488000,-0.00231800,1.02370200,-0.01243647,0.03546058,0.14430500,0.38122000,-0.19810000,0.18167203,-1.57263958,-0.12057878
1603783095.50568485,-0.00585600,-0.00122000,1.01931000,0.04872216,-0.05936779,0.38930500,-0.38878000,-0.05810000,0.18707980,-1.56840105,-0.11984800
1603783095.56808472,-0.00366000,-0.00414800,1.02772800,-0.01873117,-0.21726192,-0.03069500,0.24122000,0.11690000,0.18707980,-1.56840105,-0.11984800
1603783095.63050556,-0.00536800,-0.00268400,1.03565800,0.02955802,0.14029495,0.17930500,1.22122000,0.22190000,0.18386437,-1.57161649,-0.11984800
1603783095.69316363,-0.00305000,-0.00231800,1.05737400,0.15101339,0.01856818,0.10930500,0.24122000,0.08190000,0.18386437,-1.57161649,-0.11984800
1603783095.75565219,-0.00719800,-0.00378200,1.02577600,-0.05369176,-0.08035540,-0.10069500,0.62622000,-0.02310000,0.18064893,-1.57570886,-0.11984800
1603783095.81821752,-0.00329400,-0.00244000,1.02480000,-0.04677188,0.08363928,0.31930500,-0.21378000,-0.19810000,0.18664133,-1.56606255,-0.11999415
1603783095.88052607,-0.00451400,-0.00231800,1.02565400,0.04200910,0.01558037,-0.06569500,0.55622000,-0.09310000,0.18664133,-1.56606255,-0.11999415
1603783095.94286013,-0.00366000,-0.00329400,1.02638600,-0.06682092,-0.03308919,0.14430500,0.10122000,-0.05810000,0.18561824,-1.57117802,-0.12364806
1603783096.00526857,-0.00292800,-0.00158600,1.02382400,0.02854230,-0.07380870,0.17930500,0.24122000,-0.33810000,0.18517977,-1.57556270,-0.12101725
1603783096.06776261,-0.00695400,-0.00292800,1.02699600,-0.04739877,0.18780478,0.10930500,0.55622000,-0.23310000,0.18517977,-1.57556270,-0.12101725
1603783096.13086915,-0.00427000,-0.00305000,1.02443400,-0.05328339,0.02161854,-0.03069500,0.55622000,0.11690000,0.18591055,-1.56971646,-0.11970184
1603783096.19352412,-0.00695400,-0.00378200,1.02650800,-0.09379176,0.18451692,0.38930500,-0.10878000,-0.37310000,0.18591055,-1.57190880,-0.12394037
1603783096.25596976,-0.00256200,-0.00219600,1.01796800,0.00056577,0.01639952,-0.03069500,0.13622000,-0.19810000,0.18357205,-1.57190880,-0.12394037
1603783096.31872129,-0.00549000,0.03037800,1.02528800,0.33546208,-0.06040852,0.10930500,-0.66878000,-0.51310000,0.18751827,-1.57015493,-0.11575563
1603783096.38113332,-0.00353800,-0.00195200,1.03748800,-0.20607966,0.38215047,0.10930500,0.69622000,0.22190000,0.18751827,-1.57015493,-0.11575563
1603783096.44365621,-0.00402600,-0.00158600,1.02541000,0.24753146,-0.25822943,-0.03069500,0.27622000,-0.19810000,0.18298743,-1.57380883,-0.12072493
1603783096.50606966,-0.00512400,-0.00073200,1.02467800,-0.19652151,0.30811301,0.17930500,0.13622000,-0.05810000,0.18269512,-1.57147033,-0.12247881
